,t,k,y,u,v
0,A1101_総人口,全国,1975年度,人,111939643
1,A1101_総人口,全国,1976年度,人,113094000
2,A1101_総人口,全国,1977年度,人,114165000
3,A1101_総人口,全国,1978年度,人,115190000
4,A1101_総人口,全国,1979年度,人,116155000
5,A1101_総人口,全国,1980年度,人,117060396
6,A1101_総人口,全国,1981年度,人,117902000
7,A1101_総人口,全国,1982年度,人,118728000
8,A1101_総人口,全国,1983年度,人,119536000
9,A1101_総人口,全国,1984年度,人,120305000
10,A1101_総人口,全国,1985年度,人,121048923
11,A1101_総人口,全国,1986年度,人,121660000
12,A1101_総人口,全国,1987年度,人,122239000
13,A1101_総人口,全国,1988年度,人,122745000
14,A1101_総人口,全国,1989年度,人,123205000
15,A1101_総人口,全国,1990年度,人,123611167
16,A1101_総人口,全国,1991年度,人,124101000
17,A1101_総人口,全国,1992年度,人,124567000
18,A1101_総人口,全国,1993年度,人,124938000
19,A1101_総人口,全国,1994年度,人,125265000
20,A1101_総人口,全国,1995年度,人,125570246
21,A1101_総人口,全国,1996年度,人,125859000
22,A1101_総人口,全国,1997年度,人,126157000
23,A1101_総人口,全国,1998年度,人,126472000
24,A1101_総人口,全国,1999年度,人,126667000
25,A1101_総人口,全国,2000年度,人,126925843
26,A1101_総人口,全国,2001年度,人,127316000
27,A1101_総人口,全国,2002年度,人,127486000
28,A1101_総人口,全国,2003年度,人,127694000
29,A1101_総人口,全国,2004年度,人,127787000
30,A1101_総人口,全国,2005年度,人,127767994
31,A1101_総人口,全国,2006年度,人,127901000
32,A1101_総人口,全国,2007年度,人,128033000
33,A1101_総人口,全国,2008年度,人,128084000
34,A1101_総人口,全国,2009年度,人,128032000
35,A1101_総人口,全国,2010年度,人,128057352
36,A1101_総人口,全国,2011年度,人,127834000
37,A1101_総人口,全国,2012年度,人,127593000
38,A1101_総人口,全国,2013年度,人,127414000
39,A1101_総人口,全国,2014年度,人,127237000
40,A1101_総人口,全国,2015年度,人,127094745
41,A1101_総人口,全国,2016年度,人,127042000
42,A1101_総人口,全国,2017年度,人,126919000
43,A1101_総人口,全国,2018年度,人,126749000
44,A1101_総人口,全国,2019年度,人,126555000
45,A1101_総人口,全国,2020年度,人,126146099
46,A1101_総人口,全国,2021年度,人,125502000
47,A1101_総人口,北海道,1975年度,人,5338206
48,A1101_総人口,北海道,1976年度,人,5395000
49,A1101_総人口,北海道,1977年度,人,5443000
50,A1101_総人口,北海道,1978年度,人,5490000
51,A1101_総人口,北海道,1979年度,人,5535000
52,A1101_総人口,北海道,1980年度,人,5575989
