,date,s_name,name,s,a,j,t,g,th,tr
0,2015/02/01,愛知県知事,小松たみこ,女,64,,無所属,新,391308,落
1,2015/02/01,愛知県知事,大村ひであき,男,54,,無所属,現,1629147,当
2,2011/02/06,愛知県知事,しげとく和彦,男,40,,無所属,新,546610,落
3,2011/02/06,愛知県知事,大村ひであき,男,50,,無所属,新,1502571,当
4,2011/02/06,愛知県知事,どい敏彦,男,64,,無所属,新,141320,落
5,2011/02/06,愛知県知事,みその慎一郎,男,58,,無所属,新,487896,落
6,2011/02/06,愛知県知事,薬師寺みちよ,女,46,,みんなの党,新,324222,落
7,2019/02/03,愛知県知事,くれまつ佐一,男,62,,無所属,新,355311,落
8,2019/02/03,愛知県知事,大村ひであき,男,58,,無所属,現,1774763,当
9,2011/06/05,青森県知事,山内たかし,男,56,無職,無所属,新,83374,落
10,2011/06/05,青森県知事,三村申吾,男,55,現職,無所属,現,349274,当
11,2011/06/05,青森県知事,よしまた洋,男,37,政党党員,日本共産党,新,35972,落
12,2015/06/07,青森県知事,大竹すすむ,男,64,医師,無所属,新,127525,落
13,2015/06/07,青森県知事,三村申吾,男,59,現職,無所属,現,355914,当
14,2019/06/02,青森県知事,佐原わかこ,女,65,歯科医師,無所属,新,105466,落
15,2019/06/02,青森県知事,三村申吾,男,63,現職,無所属,現,329048,当
16,2011/07/03,群馬県知事,えびね篤,男,64,貸家業,無所属,新,6515,落
17,2011/07/03,群馬県知事,大沢正明,男,65,群馬県知事,無所属,現,392504,当
18,2011/07/03,群馬県知事,後藤新,男,50,無職,無所属,新,148790,落
19,2011/07/03,群馬県知事,こすげ啓司,男,60,政党役員,日本共産党,新,33355,落
20,2015/07/05,群馬県知事,大沢正明,男,65,群馬県知事,無所属,現,359074,当
21,2015/07/05,群馬県知事,はぎわら貞夫,男,66,政党役員,無所属,新,129990,落
22,2019/07/21,群馬県知事,石田清人,男,62,団体役員,無所属,新,185969,落
23,2019/07/21,群馬県知事,山本一太,男,61,無職,無所属,新,576935,当
24,2011/07/31,埼玉県知事,原冨さとる,男,63,団体役員,無所属,新,171750,落
25,2011/07/31,埼玉県知事,上田きよし,男,63,県知事,無所属,現,1191071,当
26,2011/07/31,埼玉県知事,たけだのぶひろ,男,57,英文法家,無所属,新,50252,落
27,2015/08/09,埼玉県知事,石川英行,男,52,無職,無所属,新,49884,落
28,2015/08/09,埼玉県知事,上田きよし,男,67,知事,無所属,現,891822,当
29,2015/08/09,埼玉県知事,たけだのぶひろ,男,61,無職,無所属,新,32364,落
30,2015/08/09,埼玉県知事,柴田やすひこ,男,62,団体職員,無所属,新,228404,落
31,2015/08/09,埼玉県知事,つかだ桂祐,男,58,シンクタンク理事,無所属,新,322455,落
32,2019/08/25,埼玉県知事,大野もとひろ,男,55,会社役員,無所属,新,923482,当
33,2019/08/25,埼玉県知事,武田信弘,男,65,無職,無所属,新,40631,落
34,2019/08/25,埼玉県知事,浜田聡,男,42,医師,NHKから国民を守る党,新,64182,落
35,2019/08/25,埼玉県知事,櫻井志津江,女,63,無職,無所属,新,34768,落
36,2019/08/25,埼玉県知事,青島けんた,男,61,スポーツライター,無所属,新,866021,落
37,2012/3/25,熊本県知事,くぼ山 啓介,男,68,政党役員,無所属,新,52591,落
38,2012/3/25,熊本県知事,かばしま 郁夫,男,65,熊本県知事,無所属,現,508917,当
39,2016/03/27,熊本県知事,寺内 大介,男,50,弁護士,無所属,新,33955,落
40,2016/03/27,熊本県知事,かばしま 郁夫,男,69,熊本県知事,無所属,現,504931,当
41,2016/03/27,熊本県知事,幸山 政史,男,50,政治団体「幸山政史の会」代表,無所属,新,201951,落
42,2020/03/22,熊本県知事,幸山 政史,男,54,政治団体「幸山政史の会」代表,無所属,新,216569,落
43,2020/03/22,熊本県知事,かばしま 郁夫,男,73,熊本県知事,無所属,現,437133,当
44,2013/07/21,兵庫県知事,井戸 敏三,男,67,兵庫県知事,無所属,現,1684146,当
45,2013/07/21,兵庫県知事,田中 耕太郎,男,64,明石民主商工会,無所属,新,627874,落
46,2017/07/02,兵庫県知事,勝谷まさひこ,男,56,コラムニスト,無所属,新,646967,落
47,2017/07/02,兵庫県知事,井戸敏三,男,71,兵庫県知事,無所属,現,944544,当
48,2017/07/02,兵庫県知事,津川ともひさ,男,66,憲法が輝く兵庫県政をつくる会代表幹事,無所属,新,148961,落
49,2017/07/02,兵庫県知事,中川ちょうぞう,男,61,一般社団法人新地域創生機構理事長,無所属,新,102919,落
50,2021/07/18,兵庫県知事,はっとり修,男,47,合同会社いろは音楽塾代表,無所属,新,46019,落
51,2021/07/18,兵庫県知事,中川ちょうぞう,男,65,合同会社エヌシーシー代表社員,無所属,新,140575,落
52,2021/07/18,兵庫県知事,さいとう元彦,男,43,無職,無所属,新,858782,当
53,2021/07/18,兵庫県知事,かなざわ和夫,男,65,無職,無所属,新,600728,落
54,2021/07/18,兵庫県知事,金田峰生,男,55,日本共産党国会議員団兵庫事務所長,無所属,新,184811,落
