,決算年度,団体コード ,団体名,表番号,行番号,行名称,001:決算額
0,2019,10006,北海道,5,1,地方税,549271092
1,2019,20001,青森県,5,1,地方税,141783027
2,2019,30007,岩手県,5,1,地方税,132114399
3,2019,40002,宮城県,5,1,地方税,258631234
4,2019,50008,秋田県,5,1,地方税,93454012
5,2019,60003,山形県,5,1,地方税,109942961
6,2019,70009,福島県,5,1,地方税,231955951
7,2019,80004,茨城県,5,1,地方税,357050521
8,2019,90000,栃木県,5,1,地方税,242924429
9,2019,100005,群馬県,5,1,地方税,237377243
10,2019,110001,埼玉県,5,1,地方税,749811602
11,2019,120006,千葉県,5,1,地方税,691378805
12,2019,130001,東京都,5,1,地方税,4321542837
13,2019,140007,神奈川県,5,1,地方税,955752483
14,2019,150002,新潟県,5,1,地方税,230561518
15,2019,160008,富山県,5,1,地方税,129805161
16,2019,170003,石川県,5,1,地方税,143299145
17,2019,180009,福井県,5,1,地方税,111737573
18,2019,190004,山梨県,5,1,地方税,96172730
19,2019,200000,長野県,5,1,地方税,234932759
20,2019,210005,岐阜県,5,1,地方税,231383628
21,2019,220001,静岡県,5,1,地方税,436598532
22,2019,230006,愛知県,5,1,地方税,1053713052
23,2019,240001,三重県,5,1,地方税,229349778
24,2019,250007,滋賀県,5,1,地方税,171762029
25,2019,260002,京都府,5,1,地方税,269083312
26,2019,270008,大阪府,5,1,地方税,1113139412
27,2019,280003,兵庫県,5,1,地方税,594138374
28,2019,290009,奈良県,5,1,地方税,123418328
29,2019,300004,和歌山県,5,1,地方税,91545674
30,2019,310000,鳥取県,5,1,地方税,54121713
31,2019,320005,島根県,5,1,地方税,69194197
32,2019,330001,岡山県,5,1,地方税,198231754
33,2019,340006,広島県,5,1,地方税,302601762
34,2019,350001,山口県,5,1,地方税,154715393
35,2019,360007,徳島県,5,1,地方税,75995597
36,2019,370002,香川県,5,1,地方税,113130523
37,2019,380008,愛媛県,5,1,地方税,143729279
38,2019,390003,高知県,5,1,地方税,65231955
39,2019,400009,福岡県,5,1,地方税,520492173
40,2019,410004,佐賀県,5,1,地方税,88756415
41,2019,420000,長崎県,5,1,地方税,117741852
42,2019,430005,熊本県,5,1,地方税,156368256
43,2019,440001,大分県,5,1,地方税,113773321
44,2019,450006,宮崎県,5,1,地方税,102238039
45,2019,460001,鹿児島県,5,1,地方税,146872969
46,2019,470007,沖縄県,5,1,地方税,134408201
47,2019,合計(全国),,5,1,地方税,16891235000
48,2019,10006,北海道,5,5,地方交付税,608954758
49,2019,20001,青森県,5,5,地方交付税,220529779
50,2019,30007,岩手県,5,5,地方交付税,287154951
51,2019,40002,宮城県,5,5,地方交付税,203700550
52,2019,50008,秋田県,5,5,地方交付税,190853011
53,2019,60003,山形県,5,5,地方交付税,174476021
54,2019,70009,福島県,5,5,地方交付税,296379610
55,2019,80004,茨城県,5,5,地方交付税,192652398
56,2019,90000,栃木県,5,5,地方交付税,127008782
57,2019,100005,群馬県,5,5,地方交付税,125533579
58,2019,110001,埼玉県,5,5,地方交付税,213995951
59,2019,120006,千葉県,5,5,地方交付税,189296281
60,2019,130001,東京都,5,5,地方交付税,0
61,2019,140007,神奈川県,5,5,地方交付税,107019453
62,2019,150002,新潟県,5,5,地方交付税,240021906
63,2019,160008,富山県,5,5,地方交付税,129307297
64,2019,170003,石川県,5,5,地方交付税,122531824
65,2019,180009,福井県,5,5,地方交付税,125380801
66,2019,190004,山梨県,5,5,地方交付税,131121965
67,2019,200000,長野県,5,5,地方交付税,202531609
68,2019,210005,岐阜県,5,5,地方交付税,172445940
69,2019,220001,静岡県,5,5,地方交付税,145888189
70,2019,230006,愛知県,5,5,地方交付税,74355894
71,2019,240001,三重県,5,5,地方交付税,130543020
72,2019,250007,滋賀県,5,5,地方交付税,114773293
73,2019,260002,京都府,5,5,地方交付税,162642555
74,2019,270008,大阪府,5,5,地方交付税,247773177
75,2019,280003,兵庫県,5,5,地方交付税,293577248
76,2019,290009,奈良県,5,5,地方交付税,156832560
77,2019,300004,和歌山県,5,5,地方交付税,171311776
78,2019,310000,鳥取県,5,5,地方交付税,135204659
79,2019,320005,島根県,5,5,地方交付税,182257949
80,2019,330001,岡山県,5,5,地方交付税,160880159
81,2019,340006,広島県,5,5,地方交付税,169088057
82,2019,350001,山口県,5,5,地方交付税,172021766
83,2019,360007,徳島県,5,5,地方交付税,148976548
84,2019,370002,香川県,5,5,地方交付税,112362599
85,2019,380008,愛媛県,5,5,地方交付税,166752033
86,2019,390003,高知県,5,5,地方交付税,172630463
87,2019,400009,福岡県,5,5,地方交付税,246287934
88,2019,410004,佐賀県,5,5,地方交付税,145518058
89,2019,420000,長崎県,5,5,地方交付税,220702521
90,2019,430005,熊本県,5,5,地方交付税,205720797
91,2019,440001,大分県,5,5,地方交付税,169726317
92,2019,450006,宮崎県,5,5,地方交付税,180938672
93,2019,460001,鹿児島県,5,5,地方交付税,272545423
94,2019,470007,沖縄県,5,5,地方交付税,211074446
95,2019,合計(全国),,5,5,地方交付税,8631282579
96,2019,10006,北海道,5,14,国庫支出金,399795210
97,2019,20001,青森県,5,14,国庫支出金,109476006
98,2019,30007,岩手県,5,14,国庫支出金,189316730
99,2019,40002,宮城県,5,14,国庫支出金,210922882
100,2019,50008,秋田県,5,14,国庫支出金,93565367
101,2019,60003,山形県,5,14,国庫支出金,77227256
102,2019,70009,福島県,5,14,国庫支出金,294949254
103,2019,80004,茨城県,5,14,国庫支出金,138056819
104,2019,90000,栃木県,5,14,国庫支出金,92509112
105,2019,100005,群馬県,5,14,国庫支出金,92754238
106,2019,110001,埼玉県,5,14,国庫支出金,160538895
107,2019,120006,千葉県,5,14,国庫支出金,155489761
108,2019,130001,東京都,5,14,国庫支出金,354800506
109,2019,140007,神奈川県,5,14,国庫支出金,122142922
110,2019,150002,新潟県,5,14,国庫支出金,153583320
111,2019,160008,富山県,5,14,国庫支出金,62428814
112,2019,170003,石川県,5,14,国庫支出金,67282031
113,2019,180009,福井県,5,14,国庫支出金,71725016
114,2019,190004,山梨県,5,14,国庫支出金,61082742
115,2019,200000,長野県,5,14,国庫支出金,118442685
116,2019,210005,岐阜県,5,14,国庫支出金,98824316
117,2019,220001,静岡県,5,14,国庫支出金,122913425
118,2019,230006,愛知県,5,14,国庫支出金,196461615
119,2019,240001,三重県,5,14,国庫支出金,76522002
120,2019,250007,滋賀県,5,14,国庫支出金,66770714
121,2019,260002,京都府,5,14,国庫支出金,82347658
122,2019,270008,大阪府,5,14,国庫支出金,205711262
123,2019,280003,兵庫県,5,14,国庫支出金,176023127
124,2019,290009,奈良県,5,14,国庫支出金,62307620
125,2019,300004,和歌山県,5,14,国庫支出金,82246757
126,2019,310000,鳥取県,5,14,国庫支出金,57080087
